id,name,grade,enhancement,maximum,minimum,price,count
206,Pirilampo,0,0,90000,83500,90000,0
207,Tiro de Fogo,0,0,90000,82500,89000,451
208,Disparo Envenenado,0,0,61000,56500,61000,0
212,Corda para Captura,0,0,1480,1280,1380,491
215,Sinalizador,0,0,52500,48600,52500,0
504,Intensificador de Poder de Ataque Corpo a Corpo,0,0,94000,81000,87500,158
505,Intensificador de Poder de Ataque à Distância,0,0,100000,92500,100000,0
506,Intensificador de Poder de Ataque de Magia,0,0,100000,92500,100000,0
507,Redutor de Dano de Ataque Corpo a Corpo,0,0,5500,4770,5150,107
508,Redutor de Poder de Ataque à Distância,0,0,37500,32300,34900,0
509,Redutor de Dano de Magia,0,0,100000,92500,100000,0
512,Intensificador de Resistência a Agarra,0,0,25600,22200,23900,22
513,Poção de HP Instantânea (Pequena),0,0,135,124,135,0
514,Poção de HP Instantânea (Média),0,0,337,299,324,0
515,Poção de MP Instantânea (Pequena),0,0,83,72,78,1
516,Poção de MP Instantânea (Média),0,0,337,311,337,65
517,Poção de HP (Pequena),0,0,51,48,48,680
518,Poção de HP (Média),0,0,129,120,120,24388
519,Poção de HP (Grande),0,0,410,353,382,6510
520,Poção de MP (Pequena),0,0,60,51,56,1002
521,Poção de MP (Média),0,0,129,120,120,329
522,Poção de MP (Grande),0,0,322,300,300,36731
523,Intensificador de Precisão,0,0,6900,6000,6450,0
524,Poção de HP (Extra Grande),0,0,1410,1300,1400,27
526,Poção de MP (Extra Grande),0,0,1410,1290,1390,161
528,Poção de HP Instantânea (Grande),0,0,845,785,845,0
529,Poção de Rec. de HP Instantâneo (Extra Grande),0,0,2250,2080,2240,18
531,Poção de MP Instantânea (Grande),0,0,845,785,845,2141
532,Poção de Rec. de MP Instantânea (Extra Grande),0,0,2250,2090,2250,0
566,Suco de Grãos,0,0,34,32,32,3468
567,Suco Concentrado de Grãos,0,0,84,79,79,9131
568,Suco de Grãos de Alta Concentração,0,0,1190,1030,1110,16
569,Suco de Erva,0,0,34,32,32,22
570,Suco Concentrado de Ervas,0,0,730,630,680,1308
571,Suco de Ervas de Alta Concentração,0,0,2100,1840,1980,0
575,Poção de Tendão de Baleia,1,0,530000,457000,494000,348
576,Poção de Tendão de Baleia Superior,2,0,1720000,1480000,1600000,1612
578,Suco de Grão Refinado,0,0,3360,3100,3350,0
579,Suco de Ervas Refinadas,0,0,6000,5550,6000,0
586,Poção de Energia (Pequena),0,0,1080000,985000,1060000,10
587,Poção de Energia (Média),0,0,2160000,1980000,2130000,63
588,Poção de Energia (Grande),0,0,3600000,3330000,3590000,19
589,Poção de Energia (Extra Grande),0,0,5750000,5350000,5750000,0
591,Poção de WP (Pequena),0,0,135,123,133,56
592,Poção de WP (Média),0,0,337,310,336,25
593,Poção de WP (Grande),0,0,845,780,840,0
594,Poção de WP (Extra Grande),0,0,2250,2080,2240,82
595,Poção de SP (Pequena),0,0,77,72,72,6
596,Poção de SP (Média),0,0,204,180,190,71
597,Poção de SP (Grande),0,0,540,467,505,369
598,Poção de SP (Extra Grande),0,0,1760,1520,1640,25
601,[Grupo] Elixir de Amizade,1,0,83500,72500,78000,0
602,[Grupo] Elixir de Melhoria de Amizade,2,0,162000,149000,161000,0
605,[Grupo] Elixir de Ressurreição,1,0,9550,8250,8900,28
606,[Grupo] Elixir de Ressurreição Poderosa,2,0,52500,48600,52500,74
607,[Grupo] Elixir de Caça ao Humano,1,0,31600,27200,29400,170
608,[Grupo] Elixir Perfeito de Caça ao Humano,2,0,154000,136000,147000,2143
609,[Grupo] Elixir do Frenesi,1,0,138000,120000,129000,0
610,[Grupo] Elixir do Frenesi Infinito,2,0,665000,610000,655000,686
611,[Grupo] Elixir de Mão Dourada,1,0,77000,67000,72000,291
612,[Grupo] Elixir de Gloriosa Mão Dourada,2,0,320000,296000,319000,997
613,[Grupo] Elixir de Pilhagem,1,0,115000,99000,107000,26
614,[Grupo] Elixir de Pilhagem Forte,2,0,283000,249000,269000,173
615,[Grupo] Elixir de Caça a Humanoide,1,0,48000,41400,44700,0
616,[Grupo] Elixir de Caça a Humanoide Feroz,2,0,156000,136000,146000,1397
617,[Grupo] Elixir de Perfuração,1,0,129000,111000,120000,0
618,[Grupo] Elixir de Perfuração Brutal,2,0,301000,279000,301000,0
619,[Grupo] Elixir de Energia,1,0,20100,17300,18700,0
620,[Grupo] Elixir de Energia Afluente,2,0,38400,33200,35800,58
621,[Grupo] Elixir das Asas,1,0,55500,48100,52000,1
622,[Grupo] Elixir das Asas Ascendentes,2,0,97500,90500,97500,0
623,[Grupo] Elixir de Morte,1,0,142000,124000,133000,2070
624,[Grupo] Elixir de Morte Bruta,2,0,480000,444000,479000,650
625,[Grupo] Elixir de Vento,1,0,107000,99000,107000,0
626,[Grupo] Elixir de Vento Fluente,2,0,162000,150000,162000,0
