id,name,grade,enhancement,maximum,minimum,price,count
206,Flashbang,0,0,90000,83500,90000,0
207,Fire Shot,0,0,90000,83000,89500,211
208,Poison Shot,0,0,61000,56500,61000,0
212,Capturing Rope,0,0,1600,1380,1490,4
215,Flare,0,0,52500,48600,52500,0
504,Melee AP Enhancer,0,0,39400,34000,36700,48
505,Ranged AP Enhancer,0,0,100000,92500,100000,0
506,Magic AP Enhancer,0,0,100000,92500,100000,0
507,Melee Damage Reducer,0,0,3300,2840,3070,14
508,Ranged Damage Reducer,0,0,32600,28200,30400,0
509,Magic Damage Reducer,0,0,100000,92500,99500,0
512,Grapple Resistance Enhancer,0,0,23800,20600,22200,1
513,Instant HP Potion (Small),0,0,135,124,135,0
514,Instant HP Potion (Medium),0,0,337,311,337,0
515,Instant MP Potion (Small),0,0,83,72,78,2
516,Instant MP Potion (Medium),0,0,337,306,331,1
517,HP Potion (Small),0,0,51,48,48,3761
518,HP Potion (Medium),0,0,133,120,124,8756
519,HP Potion (Large),0,0,555,481,520,2031
520,MP Potion (Small),0,0,54,48,51,115
521,MP Potion (Medium),0,0,129,120,120,1090
522,MP Potion (Large),0,0,322,300,300,39950
523,Accuracy Enhancer,0,0,6900,6000,6450,0
524,HP Potion (Extra Large),0,0,1410,1310,1410,0
526,MP Potion (Extra Large),0,0,1410,1290,1390,140
528,Instant HP Potion (Large),0,0,845,755,815,1
529,Instant HP Potion (Extra Large),0,0,2250,2090,2250,0
531,Instant MP Potion (Large),0,0,845,785,845,0
532,Instant MP Potion (Extra Large),0,0,2250,2090,2250,0
566,Grain Juice,0,0,34,32,32,1509
567,Concentrated Grain Juice,0,0,84,79,79,1574
568,Highly Concentrated Grain Juice,0,0,1190,1030,1110,8
569,Herbal Juice,0,0,34,32,32,63
570,Concentrated Herbal Juice,0,0,750,665,715,15
571,Highly Concentrated Herbal Juice,0,0,2100,1950,2100,0
575,Whale Tendon Potion,1,0,297000,257000,277000,27
576,Superior Whale Tendon Potion,2,0,1080000,935000,1010000,655
578,Refined Grain Juice,0,0,3360,3110,3360,0
579,Refined Herbal Juice,0,0,6000,5550,6000,67
586,Energy Potion (Small),0,0,655000,565000,610000,3
587,Energy Potion (Medium),0,0,1460000,1260000,1360000,73
588,Energy Potion (Large),0,0,3100000,2680000,2890000,193
589,Energy Potion (Extra Large),0,0,5750000,5150000,5550000,1408
591,WP Potion (Small),0,0,135,123,134,119
592,WP Potion (Medium),0,0,337,310,336,12
593,WP Potion (Large),0,0,815,705,760,763
594,WP Potion (Extra Large),0,0,2190,1890,2040,1294
595,SP Potion (Small),0,0,77,72,72,26
596,SP Potion (Medium),0,0,205,180,191,280
597,SP Potion (Large),0,0,745,645,695,3386
598,SP Potion (Extra Large),0,0,2060,1780,1920,1316
601,[Party] Elixir of Amity,1,0,83500,72500,78000,0
602,[Party] Improved Elixir of Amity,2,0,162000,149000,161000,0
605,[Party] Resurrection Elixir,1,0,8900,7700,8300,19
606,[Party] Strong Resurrection Elixir,2,0,52500,48600,52500,0
607,[Party] Elixir of Human Hunt,1,0,30700,26500,28600,90
608,[Party] Elixir of Perfect Human Hunt,2,0,154000,140000,151000,0
609,[Party] Elixir of Frenzy,1,0,134000,116000,125000,9
610,[Party] Elixir of Endless Frenzy,2,0,665000,615000,660000,791
611,[Party] Golden Hand Elixir,1,0,67500,58500,63000,1
612,[Party] Glorious Golden Hand Elixir,2,0,320000,295000,318000,1157
613,[Party] Elixir of Draining,1,0,109000,94500,102000,1
614,[Party] Elixir of Strong Draining,2,0,283000,262000,283000,1
615,[Party] Elixir of Demihuman Hunt,1,0,49100,42300,45700,93
616,[Party] Fierce Demihuman Hunting Elixir,2,0,166000,148000,159000,686
617,[Party] Elixir of Perforation,1,0,129000,111000,120000,0
618,[Party] Elixir of Brutal Perforation,2,0,301000,278000,300000,0
619,[Party] Elixir of Energy,1,0,20100,17300,18700,0
620,[Party] Surging Energy Elixir,2,0,38400,33200,35800,274
621,[Party] Elixir of Wings,1,0,60000,52000,56000,327
622,[Party] Soaring Wings Elixir,2,0,97500,89500,96500,0
623,[Party] Elixir of Death,1,0,144000,124000,134000,2291
624,[Party] Brutal Death Elixir,2,0,480000,444000,479000,1015
625,[Party] Elixir of Wind,1,0,107000,98500,106000,0
626,[Party] Elixir of Flowing Wind,2,0,162000,150000,162000,0
627,[Party] Elixir of Swiftness,1,0,111000,100000,108000,8222
628,[Party] Elixir of Intrepid Swiftness,2,0,166000,154000,166000,0
